syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority6,sonority7,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_ratio6,sonority_ratio7,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,syl_weight6,syl_weight7,syl_open0,syl_open1,syl_open2,syl_open3,syl_open4,syl_open5,syl_open6,syl_open7,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,syl_phoncat4,syl_phoncat5,syl_phoncat6,syl_phoncat7,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,onset_phoncat4,onset_phoncat5,onset_phoncat6,onset_phoncat7,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,koda_phoncat4,koda_phoncat5,koda_phoncat6,koda_phoncat7,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,nucleus_phoncat4,nucleus_phoncat5,nucleus_phoncat6,nucleus_phoncat7,syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,syl_len6,syl_len7,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,koda_len6,koda_len7,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,onset_len6,onset_len7,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,nucleus_len6,nucleus_len7,syl_cv0,syl_cv1,syl_cv2,syl_cv3,syl_cv4,syl_cv5,syl_cv6,syl_cv7,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,cv_ratio6,cv_ratio7,pos,comp_struct,nomen,comp_len,Word,stress_class
ø,ø,n,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,ø,ø,T,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,7,10,11,7,7,10,9,9,3,10,3,3,3,5,4,4,0,light,light,schwa,light,light,light,light,light,o,o,c,o,o,c,o,c,ø,ø,ø,ø,ø,ø,ø,ø,C,?,C,C,C,C,A,?,?,?,C,?,?,?,?,C,L,L,K,L,L,K,L,L,3,1,3,2,2,2,2,2,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,2,2,1,2,2,1,2,2,ø,ø,ø,ø,ø,ø,CVV,VVC,0,0,2,0,0,2,0,0,N,ø,T,2,Theaterdekoration,sekunda
ø,ø,n,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,ø,ø,R,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,10,9,16,7,6,12,9,9,5,4,4,3,6,6,4,4,-1,light,light,heavy,light,light,light,light,light,o,o,c,o,c,o,o,c,ø,ø,ø,ø,ø,ø,ø,ø,C,C,C,C,?,C,A,?,?,?,CC,?,?,?,?,C,L,L,K,L,K,L,L,L,2,3,5,2,1,2,2,2,0,0,2,0,1,0,0,1,1,1,1,1,0,1,1,0,2,2,1,2,1,2,2,2,ø,ø,ø,ø,ø,ø,CVV,VVC,0,0,3,0,1,0,0,0,N,ø,T,2,Regierungskoalition,sekunda
ø,ø,r,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,ø,ø,U,ø,ø,ø,ø,K,ø,ø,ø,ø,ø,12,15,14,7,13,9,7,13,6,5,3,3,4,4,3,4,-1,light,light,heavy,light,schwa,light,light,schwa,c,o,c,c,c,c,c,c,ø,ø,ø,ø,ø,ø,ø,ø,?,CC,C,C,C,?,A,C,C,?,CA,?,C,C,?,C,K,L,K,K,K,K,K,K,2,3,4,3,3,3,3,3,1,0,2,1,1,1,1,1,0,2,1,1,1,0,1,1,1,2,1,1,1,1,1,1,ø,ø,ø,ø,ø,ø,CVC,CVC,1,1,3,2,2,1,2,2,N,ø,T,2,Ultrakurzwellenempfaenger,prima
ø,ø,g,ø,ø,ø,ø,C,ø,ø,ø,ø,noacc,ø,ø,k,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,14,10,11,9,7,16,14,10,3,3,3,4,3,4,3,3,0,light,schwa,light,light,schwa,heavy,light,light,c,c,c,c,o,c,c,c,ø,ø,ø,ø,ø,ø,ø,ø,CC,C,C,C,C,C,AC,C,C,C,C,?,?,CC,C,C,K,K,K,K,K,K,K,K,4,3,3,2,3,5,6,3,1,1,1,1,0,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,ø,ø,ø,ø,ø,ø,ø,CVC,3,2,2,2,1,3,3,2,A,ø,F,2,krankenversicherungspflichtig,prima
ø,ø,h,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,ø,er,e,ø,ø,ø,ø,K,ø,ø,ø,ø,noacc,10,9,16,9,9,6,10,10,5,4,4,4,4,6,5,3,-1,light,light,heavy,light,light,light,light,light,c,o,c,o,o,o,o,c,ø,ø,ø,ø,ø,ø,ø,ø,?,C,C,C,C,?,C,C,C,?,CC,?,?,?,?,C,K,L,K,L,L,L,L,K,2,3,5,3,2,1,2,5,1,0,2,0,0,0,0,1,0,1,1,1,1,0,1,1,1,2,1,2,2,2,2,1,ø,ø,ø,ø,ø,ø,CVV,CVC,1,0,3,0,0,0,0,2,A,ø,F,2,ernaehrungsphysiologisch,sekunda
ø,ø,l,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,ø,ø,K,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,7,11,11,7,9,10,11,11,3,5,5,3,4,3,5,3,0,light,light,light,light,light,heavy,light,schwa,c,o,o,c,o,c,c,c,ø,ø,ø,ø,ø,ø,ø,ø,C,C,C,C,A,?,C,C,?,?,?,?,?,CC,?,C,K,L,L,K,L,L,K,K,3,2,2,2,2,3,3,3,1,0,0,1,0,2,1,1,1,1,1,1,1,0,1,1,1,2,2,1,2,2,1,1,ø,ø,ø,ø,ø,ø,CVC,CVC,2,0,0,2,0,1,2,2,N,ø,T,2,Kommunikationsmittel,antepaenultima
ø,ø,g,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,ø,ø,W,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,11,7,10,12,11,9,12,12,3,3,3,4,3,4,3,4,0,light,light,light,light,light,light,light,light,c,o,c,c,c,c,c,c,ø,ø,ø,ø,ø,ø,ø,ø,C,C,C,C,C,?,CC,C,C,?,C,A,C,C,C,C,L,L,K,D,K,K,K,K,4,2,3,5,3,2,4,4,1,0,1,1,1,1,1,1,1,1,1,1,1,0,2,1,2,2,1,2,1,1,1,1,ø,ø,ø,ø,ø,ø,ø,CVC,1,0,2,1,2,1,3,2,N,ø,T,2,Wohltaetigkeitsveranstaltung,prima
ø,ent,t,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,ø,ø,A,ø,ø,ø,ø,D,ø,ø,ø,ø,acc,11,7,15,7,6,9,9,10,5,3,3,3,6,4,4,3,-1,light,light,heavy,light,light,light,light,heavy,c,o,c,o,c,o,o,c,ø,ø,ø,ø,ø,ø,ø,ø,?,C,C,C,?,C,A,?,C,?,CC,?,?,?,?,CC,D,L,K,L,K,L,L,K,3,3,5,2,2,2,2,3,1,0,2,0,1,0,0,2,0,1,1,1,0,1,1,0,2,2,1,2,1,2,2,1,ø,ø,ø,ø,ø,ø,CVV,ø,0,0,3,0,1,0,0,2,N,ø,T,2,Ausdehnungskoeffizient,prima
ø,ø,t,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,ø,ø,D,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,10,11,11,9,6,9,12,8,3,3,3,4,6,4,6,2,-1,light,light,light,light,light,light,light,light,c,o,c,o,o,c,o,c,ø,ø,ø,ø,ø,ø,ø,ø,C,CC,C,A,?,C,C,C,C,?,C,?,?,?,?,C,K,L,K,L,L,K,L,L,3,3,3,2,1,2,2,3,1,0,1,0,0,1,0,1,1,2,1,1,0,1,1,1,1,2,1,2,2,1,2,2,ø,ø,ø,ø,ø,ø,CVV,CVVC,2,1,2,0,0,2,0,1,N,ø,T,1,Disproportionalitaet,ultima
ø,ø,g,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,ø,ø,A,ø,ø,ø,ø,K,ø,ø,ø,ø,ø,10,12,10,10,11,9,7,15,5,4,5,3,3,4,3,5,0,light,light,light,schwa,light,light,schwa,light,c,c,o,c,c,c,o,c,ø,ø,ø,ø,ø,ø,ø,ø,?,C,C,C,C,C,C,C,C,A,?,C,C,?,?,C,K,D,L,K,K,K,K,K,2,5,2,3,3,2,3,4,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,ø,ø,ø,ø,ø,ø,ø,CVC,1,1,0,2,2,2,1,2,N,ø,T,2,Arbeitslosenversicherung,prima
ø,ø,g,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,ø,ø,I,ø,ø,ø,ø,K,ø,ø,ø,ø,ø,11,9,11,7,9,17,11,14,5,4,5,3,4,5,3,4,0,light,light,light,light,light,light,light,light,c,o,o,o,o,c,c,c,ø,ø,ø,ø,ø,ø,ø,ø,?,C,C,C,C,C,C,C,C,?,?,?,?,C,C,C,K,L,L,L,L,L,K,K,2,2,2,2,2,3,4,4,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,ø,ø,ø,ø,ø,ø,CVC,CVC,1,0,0,0,0,1,2,2,N,ø,T,2,Infinitesimalrechnung,antepaenultima
ø,ø,n,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,ø,ent,e,ø,ø,ø,ø,K,ø,ø,ø,ø,noacc,10,9,9,6,13,12,9,13,3,4,4,6,6,6,4,4,0,heavy,light,light,light,light,light,light,schwa,c,c,o,o,o,o,o,c,ø,ø,ø,ø,ø,ø,ø,ø,?,C,A,?,C,C,C,C,CC,?,?,?,?,?,?,C,K,K,L,L,L,L,L,K,3,2,2,1,2,2,3,3,2,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,2,2,2,2,2,1,ø,ø,ø,ø,ø,ø,CVV,CVC,2,2,0,0,0,0,0,2,V,ø,F,1,entnationalisieren,paenultima
ø,ø,n,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,ø,ø,R,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,10,7,12,7,9,10,15,10,5,3,4,3,4,3,5,3,0,light,light,light,light,light,heavy,light,schwa,o,c,c,c,o,c,o,c,ø,ø,ø,ø,ø,ø,ø,ø,C,C,C,C,A,?,CC,C,?,?,C,?,?,CC,?,C,L,K,K,K,L,L,D,K,2,3,3,2,2,3,6,3,0,1,1,1,0,2,0,1,1,1,1,1,1,0,2,1,2,1,1,1,2,2,2,1,ø,ø,ø,ø,ø,ø,ø,CVC,0,2,2,2,0,1,1,2,N,ø,T,2,Rekommandationsschreiben,antepaenultima
ø,ø,n,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,ø,ø,e,ø,ø,ø,ø,L,ø,ø,ø,ø,ø,6,9,9,6,13,12,9,13,6,4,4,6,6,6,4,4,0,light,light,light,light,light,light,light,schwa,o,o,o,o,o,o,o,c,ø,ø,ø,ø,ø,ø,ø,ø,?,C,A,?,C,C,C,C,?,?,?,?,?,?,?,C,L,L,L,L,L,L,L,K,1,2,2,1,2,2,3,3,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,2,2,2,2,2,2,2,1,ø,ø,ø,ø,ø,ø,CVV,CVC,0,0,0,0,0,0,0,2,V,ø,F,1,emotionalisieren,paenultima
ø,ø,g,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,ø,ø,A,ø,ø,ø,ø,K,ø,ø,ø,ø,ø,9,7,12,10,11,9,7,15,4,3,3,3,3,4,3,5,0,light,schwa,light,schwa,light,light,schwa,light,c,o,c,c,c,c,o,c,ø,ø,ø,ø,ø,ø,ø,ø,?,C,CC,C,C,C,C,C,C,?,C,C,C,?,?,C,K,K,K,K,K,K,K,K,2,2,5,3,3,2,3,4,1,0,1,1,1,1,0,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,ø,ø,ø,ø,ø,ø,ø,CVC,1,1,3,2,2,2,1,2,N,ø,T,2,Angestelltenversicherung,prima
ø,ø,o,ø,ø,ø,ø,L,ø,ø,ø,ø,ø,ø,ø,O,ø,ø,ø,ø,K,ø,ø,ø,ø,ø,10,7,11,7,9,10,9,10,5,3,5,3,4,3,4,5,0,light,light,light,light,light,heavy,light,light,c,c,o,c,o,c,o,o,ø,ø,ø,ø,ø,ø,ø,ø,?,C,C,C,A,?,C,C,C,?,?,?,?,CC,?,?,K,K,L,K,L,L,L,L,2,2,2,2,2,3,2,2,1,1,0,1,0,2,0,0,0,1,1,1,1,0,1,1,1,1,2,1,2,2,2,2,ø,ø,ø,ø,ø,ø,CVV,ø,1,2,0,2,0,1,0,0,N,ø,T,2,Organisationsbuero,antepaenultima
ø,ø,e,ø,ø,ø,ø,K,ø,ø,ø,ø,ø,ø,ø,L,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,10,9,9,9,9,10,11,7,5,4,4,4,4,3,3,3,-1,light,light,light,light,light,heavy,light,schwa,o,o,o,c,o,c,c,o,ø,ø,ø,ø,ø,ø,ø,ø,C,C,C,C,A,?,C,C,?,?,?,?,?,CC,C,?,L,L,L,K,L,L,K,K,2,2,2,2,2,3,3,2,0,0,0,1,0,2,1,0,1,1,1,1,1,0,1,1,2,2,2,1,2,2,1,1,ø,ø,ø,ø,ø,ø,CVC,ø,0,0,0,2,0,1,2,1,N,ø,T,2,Legitimationskarte,antepaenultima
ø,ø,t,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,ø,ø,V,ø,ø,ø,ø,C,ø,ø,ø,ø,noacc,11,13,11,9,13,6,7,15,3,4,3,4,3,6,3,5,-1,light,light,light,light,heavy,light,light,light,c,c,c,c,c,c,c,c,ø,ø,ø,ø,ø,ø,ø,ø,C,C,C,C,C,?,C,C,C,C,C,?,CC,?,?,C,K,L,K,K,K,K,K,L,3,4,3,2,5,2,2,3,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,2,ø,ø,ø,ø,ø,ø,CVC,CVVC,2,1,2,2,3,1,2,1,N,ø,T,2,Vervielfaeltigungsapparat,sekunda
ø,ø,g,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,ø,ø,S,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,9,11,11,9,10,11,7,18,2,3,3,4,3,3,3,4,0,light,light,heavy,schwa,schwa,light,light,light,c,c,c,o,c,c,c,c,ø,ø,ø,ø,ø,ø,ø,ø,CC,C,?,C,C,C,C,CC,C,C,CC,?,C,C,?,C,K,K,K,K,K,K,K,K,5,3,3,2,3,3,4,4,1,1,2,0,1,1,1,1,2,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,ø,ø,ø,ø,ø,ø,CVC,ø,3,2,2,1,2,2,2,3,N,ø,T,2,Stadtverordnetenversammlung,prima
ø,ø,n,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,ø,ø,A,ø,ø,ø,ø,K,ø,ø,ø,ø,ø,10,12,10,7,11,7,9,9,5,4,5,3,5,3,4,4,-1,light,light,light,light,light,light,light,light,c,c,c,c,o,c,o,c,ø,ø,ø,ø,ø,ø,ø,ø,?,C,?,C,C,C,A,?,C,A,C,?,?,?,?,C,K,D,K,K,L,K,L,L,2,5,2,2,2,2,2,2,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,2,1,1,2,1,2,2,ø,ø,ø,ø,ø,ø,CVV,VVC,1,1,1,2,0,2,0,0,N,ø,T,2,Arbeitsorganisation,prima
ø,ø,r,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,ø,ø,P,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,7,10,12,7,9,10,13,11,3,5,6,3,4,3,4,3,0,light,light,light,light,light,heavy,light,schwa,o,c,o,c,o,c,c,c,ø,ø,ø,ø,ø,ø,ø,ø,C,C,C,C,A,?,C,C,?,?,?,?,?,CC,C,C,L,K,L,K,L,L,K,K,2,2,2,2,2,3,3,3,0,1,0,1,0,2,1,1,1,1,1,1,1,0,1,1,2,1,2,1,2,2,1,1,ø,ø,ø,ø,ø,ø,CVC,CVC,0,2,0,2,0,1,2,2,N,ø,T,2,Polarisationsfilter,antepaenultima
ø,ø,n,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,ø,ø,S,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,11,10,12,7,7,10,9,9,5,3,3,3,3,5,4,4,-1,light,light,schwa,light,light,light,light,light,o,c,c,o,o,c,o,c,ø,ø,ø,ø,ø,ø,ø,ø,C,C,CC,C,C,C,A,?,?,C,C,?,?,?,?,C,D,K,K,L,L,K,L,L,5,3,4,2,2,2,2,2,0,1,1,0,0,1,0,1,1,1,2,1,1,1,1,0,2,1,1,2,2,1,2,2,ø,ø,ø,ø,ø,ø,CVV,VVC,0,2,3,0,0,2,0,0,N,ø,T,2,Schaufensterdekoration,prima
